"Pays";"Institution";Nombre;"Etat";"Mise à jour";"Selection";"Traduction";"Plus ancien";"Plus récent";"Licence"
"France";"Tribunal d'instance d'Auch";1;"E";"Q";"P et I";"";"06/03/2006";"06/03/2006";"Légifrance"
"France";"Tribunal d'instance de Condom";1;"E";"Q";"P et I";"";"10/02/2006";"10/02/2006";"Légifrance"
"France";"Tribunal d'instance d'Illkirch-Graffenstaden";1;"E";"Q";"P et I";"";"06/09/2006";"06/09/2006";"Légifrance"
"Gabon";"Cour de cassation";13;"T";"P";"R";"";"24/01/2002";"15/06/2005";"ODBL/AHJUCAF"
"Guinée";"Cour suprême";78;"E";"A";"R";"";"20/03/2006";"18/12/2006";"ODBL/AHJUCAF"
"Haïti";"Cour de cassation";62;"E";"A";"R";"";"29/07/1965";"18/10/2006";"ODBL/AHJUCAF"
"Hongrie";"Cour suprême";3;"T";"P";"R";"Hongrois";"01/06/1999";"25/06/2002";"ODBL/AHJUCAF"
"Liban";"Cour de cassation";16;"T";"P";"R";"Arabe";"16/04/1963";"31/01/2005";"ODBL/AHJUCAF"
"Luxembourg";"Cour constitutionnelle";1;"E";"I";"R";"";"04/05/2011";"04/05/2011";"Non"
"Luxembourg";"Cour de cassation";59;"E";"A";"R";"";"08/07/2000";"19/05/2011";"Non"
"Luxembourg";"Tribunal administratif";1;"E";"I";"R";"";"11/12/2002";"11/12/2002";"Non"
"Madagascar";"Cour suprême";3060;"E";"S";"P et I";"";"11/03/1960";"05/09/2008";"ODBL/AHJUCAF"
"Mali";"Cour suprême";757;"E";"S";"R";"";"21/06/1993";"17/12/2007";"ODBL/AHJUCAF"
"Maroc";"Cour suprême";1607;"T";"P";"R";"Arabe en majorité";"28/01/1958";"09/03/2005";"ODBL/AHJUCAF"
"Mauritanie";"Cour suprême";5;"T";"P";"R";"Arabe";"06/07/1962";"21/03/1979";"ODBL/AHJUCAF"
"Monaco";"Cour de révision";6;"E";"I";"R";"";"11/02/2005";"25/01/2006";"Non"
"Niger";"Cour suprême";1532;"E";"S";"P";"";"14/03/1962";"27/10/2008";"ODBL/AHJUCAF"
"OHADA";"Cour commune de justice et d'arbitrage";2;"E";"I";"P";"";"07/07/1999";"11/10/2001";"Non"
"Organisation des États américains";"Cour interaméricaine des droits de l'homme";3;"E";"A";"P";"Anglais";"25/11/2008";"22/09/2009";"Non"
"Pologne";"Cour suprême";8;"T";"P";"P";"Polonais";"29/01/2004";"20/07/2006";"ODBL/AHJUCAF"
"République Tchèque";"Cour suprême";59;"E";"S";"R";"Tchèque";"27/08/1993";"29/04/2010";"ODBL/AHJUCAF"
"Roumanie";"Haute cour de cassation et de justice";388;"E";"S";"R";"Roumain";"14/04/2003";"22/04/2011";"ODBL/AHJUCAF"
"Rwanda";"Cour suprême";5;"T";"P";"R";"Kinyarwanda";"05/01/2005";"09/12/2005";"ODBL/AHJUCAF"
"Sao Tomé et Principe";"Cour suprême";4;"T";"P";"R";"Portugais";"15/06/2003";"13/07/2006";"ODBL/AHJUCAF"
"Sénégal";"Cour de cassation";1192;"E";"S";"R";"";"06/01/1993";"20/12/2006";"ODBL/AHJUCAF"
"Suisse";"Tribunal fédéral suisse";23881;"E";"S";"R";"";"05/01/1993";"23/12/2011";"Non"
"Tchad";"Cour suprême";380;"E";"S";"R";"";"18/08/1999";"25/09/2007";"ODBL/AHJUCAF"
"Togo";"Cour suprême";6;"E";"I";"R";"";"17/02/2005";"18/08/2006";"Non"
"Tunisie";"Cour de cassation";4;"T";"I";"R";"Arabe";"27/01/2005";"26/01/2006";"ODBL/AHJUCAF"
"UEMOA";"Cour de justice";1;"E";"A";"R";"";"27/06/2000";"27/06/2000";"ODBL/AHJUCAF"
"Union Africaine";"Cour africaine des droits de l'homme et des peuples";1;"E";"A";"R";"";"15/12/2009";"15/12/2009";"Non"
"Vietnam";"Cour populaire suprême";3;"T";"P";"R";"Vietnamien";"23/02/2004";"02/11/2006";"ODBL/AHJUCAF"
